dyadid,time,ver_coop,ver_conflict,mat_coop,mat_conflict
20002,12789,0,0,0,0
20002,12793,0,0,0,0
20002,12794,0,0,0,0
20002,12795,0,0,0,0
20002,12806,1,0,0,0
20002,12816,0,0,0,0
20002,12817,0,0,0,0
20002,12818,0,0,0,0
20002,12819,1,0,0,0
20002,12821,0,0,0,0
20002,12825,0,0,0,0
20002,12835,0,0,0,0
20002,12837,1,0,0,0
20002,12838,5,0,0,0
20002,12839,0,0,0,0
20002,12844,0,0,0,0
20002,12849,0,0,0,0
20002,12850,0,0,0,0
20002,12855,0,0,0,0
20002,12856,0,0,0,0
20002,12857,0,0,0,0
20002,12866,0,0,0,0
20002,12877,0,0,0,1
20002,12886,0,0,0,0
20002,12907,0,0,0,0
20002,12911,0,0,0,0
20002,12912,2,0,0,0
20002,12920,0,0,1,0
20002,12922,1,0,0,0
20002,12925,2,0,0,0
20002,12928,1,0,0,0
20002,12931,0,0,0,0
20002,12941,0,0,0,0
20002,12942,0,1,0,0
20002,12946,0,0,0,0
20002,12948,0,0,0,0
20002,12949,1,0,0,0
20002,12950,0,0,0,0
20002,12951,1,1,0,0
20002,12952,0,0,0,0
20002,12954,0,0,0,0
20002,12956,0,1,0,0
20002,12964,0,1,0,1
20002,12968,0,0,0,0
20002,12969,0,1,1,0
20002,12970,0,1,0,0
20002,12971,0,0,1,0
20002,12973,2,0,0,0
20002,12975,0,0,0,1
20002,12981,0,0,0,0
20002,12982,1,0,0,0
20002,12988,0,0,0,0
20002,12989,0,0,0,0
20002,12995,1,0,0,0
20002,12999,0,0,0,0
20002,13019,0,2,0,0
20002,13022,0,0,0,0
20002,13024,1,0,0,0
20002,13027,1,0,0,0
20002,13032,0,0,0,0
20002,13033,0,0,0,0
20002,13041,2,0,0,0
20002,13050,0,0,0,0
20002,13055,0,0,0,1
20002,13056,0,0,0,0
20002,13057,0,0,0,0
20002,13061,0,0,0,0
20002,13075,1,0,0,0
20002,13076,0,0,0,0
20002,13077,1,0,0,0
20002,13078,0,0,0,0
20002,13081,2,0,0,0
20002,13082,1,0,0,0
20002,13083,0,0,0,0
20002,13086,1,0,0,0
20002,13087,1,0,0,0
20002,13089,0,1,0,0
20002,13096,0,0,0,0
20002,13100,0,0,0,0
20002,13102,0,0,0,1
20002,13107,0,0,0,0
20002,13109,0,0,0,0
20002,13111,0,0,0,0
20002,13123,0,1,0,0
20002,13124,1,0,0,0
20002,13132,0,0,0,0
31002,12809,0,1,0,0
31002,12912,1,0,0,0
31002,13016,1,0,0,0
31002,13066,0,0,0,0
40002,12800,0,0,0,0
40002,12849,1,0,1,0
40002,12850,0,4,0,0
40002,12869,1,1,0,0
40002,12879,0,0,0,1
40002,12886,0,2,0,0
40002,12889,1,0,0,0
40002,12905,0,0,0,0
40002,12906,1,0,1,0
40002,12907,1,0,0,0
40002,12908,0,0,0,1
40002,12909,0,0,1,0
40002,12910,0,0,0,0
40002,12911,0,2,0,0
40002,12912,0,0,0,0
40002,12913,0,0,0,0
40002,12914,0,0,0,1
40002,12915,0,0,0,0
40002,12923,2,0,0,0
40002,12927,1,0,0,0
40002,12929,0,0,0,1
40002,12933,0,0,0,0
40002,12937,1,2,1,0
40002,12941,1,0,0,0
40002,12942,0,0,1,0
40002,12943,2,0,0,3
40002,12944,0,0,0,2
40002,12945,0,0,0,1
40002,12949,2,0,0,0
40002,12950,1,0,0,0
40002,12951,0,0,0,0
40002,12955,1,2,0,0
40002,12956,1,1,0,0
40002,12957,0,0,0,1
40002,12958,1,0,0,0
40002,12959,1,0,0,1
40002,12960,3,1,0,0
40002,12961,0,1,0,0
40002,12962,2,0,0,0
40002,12966,1,0,0,0
40002,12967,1,0,0,0
40002,12970,1,2,0,0
40002,12976,0,1,0,0
40002,12980,0,0,0,0
40002,12981,0,0,0,0
40002,12982,0,0,0,0
40002,12983,0,0,0,0
40002,12984,1,0,0,0
40002,12991,0,1,0,0
40002,12994,2,1,0,0
40002,12998,0,0,0,0
40002,13000,0,0,0,1
40002,13001,3,0,0,1
40002,13002,0,4,0,0
40002,13004,0,1,0,0
40002,13015,0,1,0,0
40002,13017,0,1,0,0
40002,13023,0,1,0,0
40002,13024,1,0,0,0
40002,13028,0,0,0,0
40002,13032,2,0,0,0
40002,13035,0,0,0,0
40002,13037,3,0,0,0
40002,13038,1,0,0,0
40002,13041,0,0,0,0
40002,13042,0,2,0,0
40002,13043,1,1,0,1
40002,13044,1,1,0,1
40002,13045,0,2,0,0
40002,13046,0,0,0,0
40002,13047,1,0,0,0
40002,13048,0,1,0,0
40002,13054,0,3,0,0
40002,13058,0,1,0,0
40002,13059,2,0,1,0
40002,13060,2,2,0,0
40002,13062,0,1,3,0
40002,13063,2,1,1,0
40002,13065,0,0,0,0
40002,13066,0,0,0,0
40002,13067,0,3,0,0
40002,13068,0,1,0,0
40002,13070,0,0,0,0
40002,13073,0,1,0,0
40002,13075,2,0,0,0
40002,13077,0,0,0,1
40002,13078,0,2,0,0
40002,13079,1,2,0,0
40002,13080,0,0,0,0
40002,13081,0,2,0,0
40002,13082,1,0,0,0
40002,13084,0,1,0,0
40002,13088,2,0,0,0
40002,13090,1,0,0,0
40002,13095,0,0,0,0
40002,13096,0,0,0,0
40002,13097,1,0,0,0
40002,13098,1,1,0,0
40002,13107,0,0,2,0
40002,13108,0,0,0,0
40002,13114,2,0,0,0
40002,13115,1,0,0,0
40002,13116,0,1,0,0
40002,13122,0,0,0,0
40002,13131,1,1,0,0
40002,13135,1,0,0,0
40002,13138,0,1,0,0
40002,13139,0,0,0,0
40002,13140,0,0,0,0
40020,13131,0,0,0,0
40031,12948,0,0,0,0
40031,12949,0,0,0,0
41002,12796,0,0,0,2
41002,12814,0,0,2,1
41002,12816,1,0,0,0
41002,12817,2,0,0,0
41002,12825,0,0,0,0
41002,12837,3,1,0,0
41002,12838,1,0,0,0
41002,12839,0,0,0,0
41002,12840,3,0,0,0
41002,12849,0,0,0,0
41002,12850,0,0,0,1
41002,12851,1,0,0,1
41002,12860,0,0,0,0
41002,12864,1,0,0,0
41002,12872,0,0,0,0
41002,12873,0,1,0,0
41002,12876,0,0,0,0
41002,12881,1,1,0,0
41002,12914,0,0,0,1
41002,12915,1,1,0,1
41002,12920,0,0,0,1
41002,12936,0,0,0,0
41002,12937,0,1,0,0
41002,12938,1,0,0,0
41002,12952,1,0,0,0
41002,12953,0,1,0,0
41002,12955,0,1,0,0
41002,12957,0,0,0,0
41002,12961,0,0,2,1
41002,12965,0,1,0,0
41002,12983,2,0,0,0
41002,12991,1,0,0,0
41002,13011,0,0,0,0
41002,13013,0,0,0,0
41002,13018,0,0,0,0
41002,13022,0,0,0,0
41002,13047,0,0,0,0
41002,13048,2,0,0,0
41002,13049,1,0,0,0
41002,13053,0,1,0,0
41002,13054,0,1,0,0
41002,13056,0,0,0,0
41002,13059,0,0,0,0
41002,13075,0,0,0,0
41002,13076,0,0,0,1
41002,13077,1,0,0,0
41002,13079,0,0,0,0
41002,13092,1,0,0,0
41002,13095,1,0,0,0
41002,13097,0,0,0,0
41002,13103,0,0,0,1
41002,13107,0,0,0,0
41002,13113,2,0,0,0
41002,13114,2,0,0,0
41002,13115,0,3,0,0
41002,13116,0,1,1,0
41002,13117,1,0,1,0
41002,13121,0,1,0,0
41002,13128,0,0,0,1
41002,13131,0,0,0,0
41002,13132,0,2,0,0
41002,13133,0,0,0,1
41002,13135,1,0,0,0
41002,13136,0,0,0,0
41002,13143,0,0,0,0
41002,13144,0,0,0,0
41002,13145,2,0,0,0
41002,13146,2,0,0,0
41002,13147,1,0,0,0
41031,13016,0,0,0,1
41031,13032,0,0,0,0
41031,13035,0,0,0,1
42002,12973,0,1,0,0
42002,13125,0,0,0,0
42002,13128,0,0,0,0
42002,13141,0,0,0,0
42040,13095,1,0,0,0
42041,12890,0,0,0,0
42041,12983,0,0,0,0
42041,13131,0,0,0,0
51002,12928,0,0,0,1
51002,12997,0,0,0,0
51002,13039,1,0,0,0
51002,13130,0,0,0,0
51002,13142,0,0,0,2
51020,13068,0,0,0,1
52002,12939,0,0,0,1
52002,12999,0,0,0,1
52002,13000,1,0,0,0
52040,13010,0,0,0,0
52040,13013,0,0,0,0
52040,13016,0,0,0,0
52042,12969,1,0,0,0
52051,13098,2,0,0,0
53002,13045,0,0,0,0
53002,13054,1,0,0,0
55002,12790,0,1,0,0
55002,12813,1,0,0,0
55002,12814,1,0,0,0
55002,12915,0,0,0,0
55002,12929,0,0,0,0
55002,13125,2,0,0,0
58002,13081,1,0,0,0
58020,13035,0,0,0,0
58042,13031,2,0,0,0
70002,12794,2,0,0,0
70002,12795,1,0,0,0
70002,12796,1,0,0,0
70002,12798,0,0,0,0
70002,12799,0,1,0,0
70002,12801,0,0,1,0
70002,12802,0,1,0,0
70002,12804,1,1,0,0
70002,12808,0,0,1,0
70002,12809,2,0,0,0
70002,12810,0,0,0,0
70002,12813,1,0,0,0
70002,12814,3,0,0,0
70002,12815,0,0,0,0
70002,12816,0,0,1,0
70002,12817,0,0,0,0
70002,12819,0,0,0,1
70002,12828,1,0,0,0
70002,12829,1,0,0,1
70002,12830,0,1,0,0
70002,12836,1,1,0,0
70002,12837,0,1,0,0
70002,12843,2,0,0,0
70002,12844,2,0,0,0
70002,12845,0,0,0,0
70002,12850,1,0,0,0
70002,12851,1,0,0,0
70002,12854,0,0,0,1
70002,12855,0,0,0,0
70002,12865,0,0,0,0
70002,12870,0,2,0,0
70002,12876,0,0,0,0
70002,12879,0,0,1,0
70002,12882,0,2,0,0
70002,12891,0,0,0,0
70002,12900,0,0,0,0
70002,12908,0,0,1,0
70002,12910,0,2,0,0
70002,12915,0,1,0,0
70002,12919,2,0,0,0
70002,12927,1,0,0,0
70002,12928,1,0,0,0
70002,12932,0,0,1,0
70002,12936,1,0,0,0
70002,12941,0,0,0,0
70002,12946,0,0,0,0
70002,12947,0,1,0,1
70002,12951,0,0,0,1
70002,12956,1,2,0,0
70002,12957,0,1,0,1
70002,12962,1,0,0,0
70002,12968,0,0,0,0
70002,12970,0,0,0,0
70002,12973,0,0,0,0
70002,12977,1,0,0,0
70002,12979,0,1,0,0
70002,12989,0,0,0,0
70002,13001,1,0,0,0
70002,13002,2,0,0,0
70002,13005,1,0,0,0
70002,13006,1,0,0,0
70002,13007,0,1,0,0
70002,13027,1,0,1,0
70002,13028,1,0,0,0
70002,13032,0,0,0,0
70002,13044,0,1,0,0
70002,13047,0,0,0,0
70002,13048,0,1,0,0
70002,13049,0,0,0,0
70002,13052,0,0,0,0
70002,13053,2,0,0,0
70002,13062,0,0,0,0
70002,13064,0,0,0,0
70002,13065,2,0,0,0
70002,13066,5,0,0,0
70002,13067,1,0,0,0
70002,13068,0,0,0,0
70002,13080,0,0,0,0
70002,13084,0,1,1,0
70002,13085,2,0,0,0
70002,13089,1,0,0,0
70002,13090,1,0,0,1
70002,13093,0,0,0,1
70002,13102,0,1,0,0
70002,13114,0,0,0,0
70002,13115,0,0,0,1
70002,13116,0,0,2,0
70002,13122,0,0,0,0
70002,13129,5,0,0,0
70002,13130,5,0,0,0
70002,13136,3,0,0,0
70002,13139,1,0,0,0
70002,13140,1,0,0,0
70002,13144,2,0,0,0
70020,12802,0,1,0,0
70020,12879,0,0,0,0
70020,12922,1,0,0,0
70020,12926,0,0,2,0
70020,12941,0,0,0,0
70020,12943,1,0,0,0
70020,12968,0,0,0,0
70020,12970,0,0,0,0
70020,12989,0,0,0,0
70020,13032,0,0,0,0
70020,13080,0,0,0,0
70020,13101,2,2,0,0
70020,13103,0,1,0,0
70020,13113,0,1,0,0
70020,13118,1,0,0,0
70020,13119,0,1,0,0
70040,12810,0,0,0,0
70040,12941,1,0,0,0
70040,12970,0,0,0,0
70040,12974,0,0,0,0
70040,12979,2,2,0,0
70040,13016,0,0,0,0
70040,13017,0,0,0,0
70040,13036,0,0,0,0
70040,13037,0,0,0,0
70040,13038,0,0,0,0
70040,13046,0,2,0,0
70040,13047,0,0,0,0
70040,13048,0,2,0,0
70040,13055,0,0,0,0
70040,13074,2,0,0,0
70040,13113,0,1,0,0
70040,13117,1,0,0,0
70052,13009,0,0,0,0
80002,13061,0,0,0,0
80020,12901,1,0,0,0
80020,13079,0,0,0,0
80020,13080,0,1,0,0
80040,12947,0,0,0,0
80040,12978,0,0,0,0
80040,12980,2,0,0,0
80040,12982,0,1,0,0
80070,12926,0,0,2,0
80070,13066,0,1,0,0
90002,12855,1,1,0,0
90002,12873,0,0,1,1
90002,12877,0,0,1,0
90002,12878,0,1,0,0
90002,12879,1,0,0,0
90002,12880,2,0,0,0
90002,12886,0,1,0,0
90002,12898,0,1,0,0
90002,12908,0,0,0,0
90002,12910,0,1,0,0
90002,12913,1,0,0,0
90002,12914,0,0,0,2
90002,12915,0,0,0,1
90002,12918,0,1,0,0
90002,12929,0,0,0,0
90002,12946,0,0,0,0
90002,12962,0,0,0,0
90002,12990,1,0,0,0
90002,12995,1,0,0,0
90002,13037,0,0,0,0
90002,13051,0,0,0,1
90002,13053,1,0,0,0
90002,13057,1,0,0,0
90002,13082,0,0,0,0
90002,13100,0,0,0,0
90020,13079,0,0,0,0
90020,13080,0,1,0,0
90070,12926,0,0,2,0
90070,12941,0,0,0,0
90070,12942,0,0,0,0
90070,12943,0,0,0,0
90070,12944,0,0,0,0
90070,12989,0,0,0,0
90070,12990,0,0,0,0
90070,13018,0,0,0,0
90070,13037,0,0,0,0
90070,13040,0,0,0,0
90070,13052,1,0,0,0
90070,13120,1,0,0,0
90070,13137,1,0,0,0
90080,12926,0,0,2,0
90080,13039,1,0,0,0
90080,13093,1,0,0,0
91002,12933,0,0,1,0
91002,12953,1,0,0,0
91002,13007,0,0,1,0
91002,13010,1,0,0,0
91002,13016,0,0,0,0
91002,13028,0,1,0,0
91002,13036,0,0,0,1
91002,13055,0,1,0,0
91002,13066,0,0,0,0
91002,13074,0,0,0,0
91002,13093,1,0,2,0
91002,13094,1,0,0,0
91002,13098,0,1,0,0
91020,13079,0,0,0,0
91020,13080,0,1,0,0
91041,12977,0,0,0,0
91070,13008,0,0,0,1
91070,13014,0,0,0,0
91070,13085,0,0,0,2
91090,12938,0,0,0,1
91090,12945,0,0,0,1
91090,12954,0,1,0,0
91090,13077,0,0,0,1
91090,13118,0,0,0,0
91090,13119,0,0,0,0
92002,12962,0,0,0,0
92002,13013,1,0,0,0
92002,13019,0,0,0,0
92002,13047,0,0,0,1
92002,13055,0,0,1,0
92002,13057,1,0,0,0
92002,13065,0,0,1,0
92002,13078,0,0,0,0
92020,13078,0,0,0,0
92020,13079,0,0,0,0
92020,13080,0,1,0,0
92040,12976,1,0,0,0
92040,12996,0,0,0,0
92090,12948,0,0,0,1
92090,12950,0,1,0,0
92090,12989,0,0,0,1
92090,13011,1,0,0,0
92090,13043,0,0,0,1
92090,13044,0,0,0,2
92090,13061,0,0,0,0
92090,13118,0,0,0,0
92090,13119,0,0,0,0
92091,12935,0,0,0,0
92091,12943,0,0,0,0
92091,12955,0,0,0,0
92091,12956,0,0,0,0
92091,12960,0,0,0,0
92091,13004,0,0,0,0
92091,13037,1,0,0,0
92091,13038,0,0,2,1
92091,13044,0,0,0,0
92091,13058,0,0,0,0
92091,13064,0,0,0,0
92091,13118,0,0,0,0
92091,13119,0,0,0,0
93002,12817,0,2,0,0
93002,12863,0,1,0,0
93002,12965,0,0,0,0
93002,12989,0,0,1,0
93002,12994,0,1,1,0
93002,12995,0,0,1,0
93002,13026,0,0,0,1
93002,13033,1,0,0,0
93002,13038,0,0,0,0
93002,13056,0,1,0,0
93002,13058,1,0,0,0
93002,13068,0,0,0,0
93002,13080,0,0,0,0
93002,13092,0,0,0,0
93002,13095,0,0,1,0
93040,13080,0,0,0,0
93052,13031,0,0,0,0
93090,13118,0,0,0,0
93090,13119,0,0,0,0
93091,12937,1,0,0,1
93091,12940,0,0,0,1
93091,12942,0,0,0,2
93091,12949,1,0,0,0
93091,12950,0,0,0,2
93091,12953,0,0,0,2
93091,12970,1,0,0,0
93091,13040,1,0,0,0
93091,13041,0,1,0,0
93091,13047,1,0,0,0
93091,13118,0,0,0,0
93091,13119,0,0,0,0
93091,13130,0,1,0,0
93091,13136,0,1,0,0
93092,12999,0,0,0,0
93092,13005,1,0,0,0
93092,13065,0,0,0,0
93092,13074,0,0,0,0
93092,13118,0,0,0,0
93092,13119,0,0,0,0
94002,12933,0,0,0,0
94002,12940,0,0,0,1
94002,12942,0,0,0,1
94002,12950,1,0,0,0
94002,12953,2,0,0,0
94002,13105,0,1,0,0
94020,13079,0,0,0,0
94020,13080,0,1,0,0
94040,12941,0,0,0,0
94040,12949,0,0,0,0
94040,12950,1,0,0,0
94040,12951,0,1,0,0
94040,12952,0,0,0,0
94040,12953,0,0,0,0
94040,12998,0,0,0,0
94040,13040,1,0,0,0
94041,13110,0,0,0,0
94070,12967,0,0,0,0
94090,13008,0,0,0,0
94090,13118,0,0,0,0
94090,13119,0,0,0,0
94091,12933,0,1,0,0
94091,12934,0,0,0,0
94091,13022,0,0,0,1
94091,13047,0,0,1,0
94091,13118,0,0,0,0
94091,13119,0,0,0,0
94091,13130,0,0,0,0
94092,12960,1,0,0,0
94092,13118,0,0,0,0
94092,13119,0,0,0,0
94093,12961,1,1,0,0
94093,12974,0,0,0,1
94093,13024,1,0,0,0
94093,13026,0,1,0,0
94093,13055,0,0,0,1
94093,13098,0,0,0,1
94093,13108,0,0,0,0
94093,13109,0,0,0,0
94093,13118,0,0,0,0
94093,13119,0,0,0,0
95002,12802,1,0,0,0
95002,12848,0,0,0,1
95002,12850,0,0,1,0
95002,12965,0,0,0,1
95002,12969,0,0,0,0
95002,13019,0,0,0,0
95002,13027,0,0,0,1
95002,13030,0,0,0,0
95002,13032,0,0,0,0
95002,13033,0,0,0,0
95002,13034,0,0,0,0
95002,13039,0,0,0,0
95002,13041,0,0,0,0
95002,13054,0,0,0,0
95002,13055,0,0,0,0
95002,13060,2,0,0,0
95002,13071,1,0,0,0
95002,13082,0,0,0,0
95002,13083,1,0,0,0
95002,13091,1,0,1,0
95002,13092,0,0,1,0
95002,13103,0,0,0,1
95002,13111,0,0,0,0
95002,13116,0,0,0,2
95002,13131,0,0,0,0
95002,13138,0,0,0,1
95002,13139,0,0,0,0
95040,12994,0,0,0,0
95040,12995,0,0,0,0
95040,12998,0,0,0,0
95040,13052,0,0,0,0
95070,12813,1,0,0,0
95070,12898,0,0,0,1
95070,12912,0,1,0,0
95080,13132,0,0,0,0
95094,12933,0,1,0,0
100002,12786,0,0,1,0
100002,12787,0,0,1,0
100002,12794,1,0,0,0
100002,12828,0,1,0,1
100002,12831,0,0,0,0
100002,12833,0,1,0,0
100002,12840,0,1,0,0
100002,12843,0,2,0,0
100002,12844,0,0,0,0
100002,12847,1,1,0,0
100002,12852,0,0,1,0
100002,12853,1,1,0,0
100002,12854,1,0,0,0
100002,12858,0,0,0,1
100002,12865,1,0,0,0
100002,12877,0,1,0,0
100002,12878,1,2,0,0
100002,12891,0,0,0,0
100002,12894,0,1,0,0
100002,12907,0,1,0,0
100002,12929,1,1,0,0
100002,12930,1,1,0,0
100002,12935,1,2,0,0
100002,12940,1,0,0,0
100002,12941,1,1,0,0
100002,12943,2,0,0,0
100002,12944,0,0,0,0
100002,12947,0,0,0,0
100002,12949,0,0,0,0
100002,12950,0,1,0,0
100002,12954,0,0,0,0
100002,12955,0,1,0,4
100002,12956,0,0,0,2
100002,12957,2,1,0,1
100002,12959,1,0,0,0
100002,12963,3,0,0,0
100002,12969,1,1,0,1
100002,12971,0,0,0,0
100002,12972,0,0,1,0
100002,12973,0,0,0,0
100002,12974,1,0,0,0
100002,12976,1,0,0,0
100002,12978,0,0,0,0
100002,12983,1,0,0,0
100002,12984,2,0,0,0
100002,12986,0,0,0,1
100002,12989,0,0,0,0
100002,12991,0,1,0,0
100002,12998,1,0,0,0
100002,12999,1,0,0,0
100002,13001,0,0,0,0
100002,13002,1,1,0,0
100002,13003,1,0,0,0
100002,13004,3,0,0,0
100002,13005,1,0,0,0
100002,13012,1,0,0,0
100002,13024,1,0,0,0
100002,13026,0,0,0,2
100002,13030,0,0,0,2
100002,13032,1,0,0,0
100002,13036,0,0,0,1
100002,13046,0,0,1,0
100002,13048,1,0,0,0
100002,13054,2,1,0,0
100002,13055,4,3,0,1
100002,13058,0,1,0,0
100002,13061,1,0,0,0
100002,13062,1,1,0,0
100002,13063,1,1,0,0
100002,13066,1,3,0,0
100002,13067,1,0,0,0
100002,13073,0,1,0,0
100002,13074,0,0,0,0
100002,13075,1,0,0,0
100002,13076,1,0,0,0
100002,13078,0,0,0,0
100002,13079,0,1,0,0
100002,13080,2,0,0,0
100002,13081,2,0,0,0
100002,13086,0,0,0,0
100002,13087,0,0,0,0
100002,13088,0,0,0,0
100002,13089,0,0,0,0
100002,13098,0,0,0,2
100002,13100,0,0,0,0
100002,13101,0,0,0,0
100002,13103,0,0,1,0
